ID,Date,Location,Latitude,Longtitude,Magnitude,Depth,Record date
1,5/28/2005 11:17,KOYCEGiZ (MUGLA),37.1218,28.7193,3.1,12.3,01:52.6
2,7/5/2005 23:10,KOYCEGiZ (MUGLA),37.0787,28.7347,2.8,27.8,01:52.8
3,9/5/2005 14:39,KOYCEGiZ (MUGLA),37.1043,28.6722,2.9,32.6,01:52.9
4,10/16/2005 0:22,KOYCEGiZ (MUGLA),37.0352,28.579,2.8,22.9,01:53.0
5,2/22/2006 9:01,KOYCEGiZ (MUGLA),37.0437,28.8388,3,9.6,01:53.3
6,3/5/2006 7:46,KOYCEGiZ (MUGLA),37.021,28.6025,3.2,13.1,01:53.3
7,4/28/2006 8:48,KOYCEGiZ (MUGLA),37.0542,28.581,3.1,6.1,01:53.4
8,5/9/2006 6:39,KOYCEGiZ (MUGLA),37.051,28.8697,2.7,27.6,01:53.5
9,8/6/2006 14:57,KOYCEGiZ (MUGLA),37.1112,28.697,2.8,8.2,01:53.7
10,10/30/2006 18:08,KOYCEGiZ (MUGLA),37.129,28.6388,3.4,16.9,01:53.8
11,3/15/2007 21:17,KOYCEGiZ (MUGLA),36.9283,28.5968,2.9,5.1,01:54.1
12,5/11/2007 12:44,KOYCEGiZ (MUGLA),37.1378,28.6407,2.7,12.5,01:54.3
13,5/15/2007 18:45,KOYCEGiZ (MUGLA),36.9258,28.651,2.8,2.8,01:54.3
14,6/4/2007 20:23,KOYCEGiZ (MUGLA),37.0903,28.6068,2.7,24.2,01:54.4
15,1/15/2008 18:00,KOYCEGiZ (MUGLA),36.9738,28.747,2.8,10.6,01:54.9
16,1/21/2008 18:48,KOYCEGiZ (MUGLA),36.9657,28.522,2.8,13.6,01:54.9
17,11/13/2008 10:17,KOYCEGIZ (MUGLA),36.895,28.553,2.7,9.5,01:55.6
18,1/9/2009 12:23,KOYCEGIZ (MUGLA),36.9752,28.5587,2.7,31.8,01:55.8
19,5/3/2009 3:11,KOYCEGIZ (MUGLA),37.0005,28.6058,2.6,5,01:56.2
20,5/13/2009 18:15,KOYCEGIZ (MUGLA),37.0673,28.7895,2.7,7.1,01:56.2
