ID,Date,Location,Latitude,Longtitude,Magnitude,Depth,Record date
1,1/3/2005 21:31,MARMARiS (MUGLA),36.9498,28.2862,3.1,28.4,01:52.4
2,1/3/2005 23:22,MARMARiS (MUGLA),36.9213,28.2775,3,27.8,01:52.4
3,1/5/2005 9:51,MARMARiS (MUGLA),37.0107,28.2592,2.9,14.9,01:52.4
4,1/5/2005 16:31,MARMARiS (MUGLA),36.9292,28.2988,3,27.4,01:52.4
5,1/10/2005 5:57,MARMARiS (MUGLA),36.8895,28.1283,2.9,27.8,01:52.4
6,1/20/2005 19:35,MARMARiS (MUGLA),36.7782,28.3725,3.3,57.3,01:52.4
7,1/21/2005 17:49,MARMARiS (MUGLA),36.8712,28.1167,3,70.9,01:52.4
8,1/22/2005 17:03,MARMARiS (MUGLA),36.6877,28.3595,3.2,62.6,01:52.4
9,1/26/2005 5:55,MARMARiS (MUGLA),36.9467,28.2253,3.3,31.8,01:52.4
10,2/16/2005 12:31,MARMARiS (MUGLA),36.9327,28.278,3.4,7.9,01:52.4
11,2/16/2005 12:35,MARMARiS (MUGLA),37.0063,28.2322,2.8,20.9,01:52.4
12,2/17/2005 0:31,MARMARiS (MUGLA),36.9612,28.355,2.9,5,01:52.4
13,2/21/2005 2:38,MARMARiS (MUGLA),36.6552,28.111,3,66.4,01:52.4
14,3/2/2005 13:46,MARMARiS (MUGLA),36.7597,28.2313,3.2,81.2,01:52.5
15,3/29/2005 9:55,MARMARiS (MUGLA),36.1785,28.209,3.1,56.9,01:52.5
16,5/6/2005 0:53,MARMARiS (MUGLA),36.9872,28.2347,3,17.9,01:52.6
17,5/13/2005 8:11,MARMARiS (MUGLA),36.5182,28.1998,2.9,31.2,01:52.6
18,7/18/2005 0:48,MARMARiS (MUGLA),36.6578,28.1268,3.1,26.6,01:52.8
19,7/18/2005 8:05,MARMARiS (MUGLA),36.9203,28.3615,2.7,30,01:52.8
20,7/27/2005 13:55,BOZBURUN-MARMARiS (MUGLA),36.767,28.0647,3.2,27.3,01:52.8
21,3/26/2006 12:07,BOZBURUN-MARMARiS (MUGLA),36.7537,28.0372,2.6,13.9,01:53.3
22,4/29/2006 22:56,MARMARiS ACIKLARI-MUGLA (AKDENiZ),36.744,28.4687,3.2,49.8,01:53.4
23,7/26/2006 16:22,MARMARiS ACIKLARI-MUGLA (AKDENiZ),36.8997,28.4998,2.7,21.2,01:53.6
24,11/13/2006 18:56,BOZBURUN-MARMARiS (MUGLA),36.7047,28.0205,3,5,01:53.9
25,4/10/2007 7:20,MARMARiS (MUGLA),36.863,28.2073,3.2,61.4,01:54.2
26,8/23/2007 18:55,BOZBURUN-MARMARiS (MUGLA),36.6163,28.0527,2.8,5,01:54.5
27,11/12/2007 7:24,MARMARiS (MUGLA),36.8205,28.1763,3.2,63.8,01:54.7
28,4/9/2008 17:40,MARMARiS (MUGLA),36.9348,28.2375,2.5,5,01:55.1
29,8/22/2008 1:30,MARMARiS (MUGLA),36.9288,28.2885,3.4,29.5,01:55.4
30,9/24/2008 19:16,MARMARiS (MUGLA),36.8165,28.1895,3.6,77.8,01:55.5
31,10/2/2008 1:10,BOZBURUN-MARMARiS (MUGLA),36.6903,28.0145,3.3,5,01:55.5
