ID,Date,Location,Latitude,Longtitude,Magnitude,Depth,Record date
1,4/7/2005 23:27,YATAGAN (MUGLA),37.3427,28.0557,3.2,10.9,01:52.6
2,5/3/2005 12:24,YATAGAN (MUGLA),37.3038,27.9902,3,19.1,01:52.6
3,5/10/2005 12:30,YATAGAN (MUGLA),37.4747,28.1045,3,21.2,01:52.6
4,5/13/2005 11:56,YATAGAN (MUGLA),37.3095,28.1743,2.7,22.8,01:52.6
5,5/16/2005 12:04,YATAGAN (MUGLA),37.3113,28.2175,2.6,5,01:52.6
6,5/17/2005 10:34,TURGUT-YATAGAN (MUGLA),37.3735,28.0147,2.8,27.5,01:52.6
7,5/21/2005 11:50,TURGUT-YATAGAN (MUGLA),37.3692,27.9235,2.8,50.6,01:52.6
8,5/26/2005 10:52,TURGUT-YATAGAN (MUGLA),37.3552,28.066,2.8,9.8,01:52.6
9,6/1/2005 12:15,TURGUT-YATAGAN (MUGLA),37.3412,28.067,2.9,16.6,01:52.7
10,6/15/2005 12:29,YATAGAN (MUGLA),37.3675,28.0957,3.2,28,01:52.7
11,6/29/2005 12:05,YATAGAN (MUGLA),37.3108,28.2012,2.7,5,01:52.7
12,7/1/2005 11:36,YATAGAN (MUGLA),37.3093,28.2037,2.8,13.8,01:52.8
13,7/4/2005 11:23,YATAGAN (MUGLA),37.2677,28.1932,2.8,2.9,01:52.8
14,7/15/2005 12:30,TURGUT-YATAGAN (MUGLA),37.287,27.9522,2.7,5.5,01:52.8
15,7/16/2005 12:59,YATAGAN (MUGLA),37.375,28.2395,2.8,5,01:52.8
16,7/24/2005 18:12,YATAGAN (MUGLA),37.3273,28.2648,2.8,14.4,01:52.8
17,7/27/2005 13:59,TURGUT-YATAGAN (MUGLA),37.3805,27.9858,2.9,29.7,01:52.8
18,8/25/2005 16:09,TURGUT-YATAGAN (MUGLA),37.2215,28.0003,3,24.8,01:52.8
19,8/26/2005 4:54,YATAGAN (MUGLA),37.2118,28.0285,2.8,4.8,01:52.8
20,10/12/2005 12:36,YATAGAN (MUGLA),37.2925,28.2218,2.9,5,01:53.0
21,10/24/2005 12:20,YATAGAN (MUGLA),37.2433,28.1855,2.9,4.1,01:53.0
22,11/7/2005 14:11,YATAGAN (MUGLA),37.2955,28.2148,2.9,14.1,01:53.1
23,11/15/2005 10:44,TURGUT-YATAGAN (MUGLA),37.2798,27.9888,2.8,15.7,01:53.1
24,11/16/2005 17:03,YATAGAN (MUGLA),37.298,28.2183,2.8,25.6,01:53.1
25,11/22/2005 16:57,YATAGAN (MUGLA),37.232,28.1538,2.6,23.7,01:53.1
26,12/3/2005 17:14,YATAGAN (MUGLA),37.3078,28.2717,2.8,6.7,01:53.2
27,12/26/2005 15:53,YATAGAN (MUGLA),37.2805,28.2048,2.7,18.8,01:53.2
28,4/22/2006 18:40,YATAGAN (MUGLA),37.265,28.2328,2.8,5.5,01:53.4
29,4/29/2006 18:26,YATAGAN (MUGLA),37.2955,28.2452,2.7,5.5,01:53.4
30,5/8/2006 18:11,YATAGAN (MUGLA),37.3003,28.2543,2.7,5.4,01:53.5
31,5/9/2006 18:13,YATAGAN (MUGLA),37.2283,28.1693,2.7,5,01:53.5
32,5/9/2006 19:17,YATAGAN (MUGLA),37.3462,28.1408,3.2,15.4,01:53.5
33,5/10/2006 18:24,YATAGAN (MUGLA),37.2703,28.2043,2.7,2,01:53.5
34,5/10/2006 18:28,YATAGAN (MUGLA),37.2453,28.1785,2.8,2.3,01:53.5
35,5/11/2006 18:11,YATAGAN (MUGLA),37.2398,28.1603,2.7,5,01:53.5
36,5/12/2006 18:22,YATAGAN (MUGLA),37.2698,28.2087,2.8,19.5,01:53.5
37,5/13/2006 9:35,YATAGAN (MUGLA),37.2122,28.1137,2.6,29.6,01:53.5
38,5/13/2006 9:39,YATAGAN (MUGLA),37.236,28.1323,2.6,29.3,01:53.5
39,5/13/2006 11:19,YATAGAN (MUGLA),37.3205,28.1225,2.5,5.4,01:53.5
40,5/13/2006 12:42,YATAGAN (MUGLA),37.2525,28.2152,2.6,9.3,01:53.5
41,5/14/2006 12:14,YATAGAN (MUGLA),37.2717,28.2062,2.7,3.6,01:53.5
42,5/15/2006 12:21,YATAGAN (MUGLA),37.2218,28.1143,2.8,5,01:53.5
43,5/18/2006 12:06,YATAGAN (MUGLA),37.2718,28.2388,2.6,8,01:53.5
44,5/18/2006 12:13,YATAGAN (MUGLA),37.2968,28.2508,2.6,12.9,01:53.5
45,5/21/2006 18:15,YATAGAN (MUGLA),37.2377,28.187,2.7,5,01:53.5
46,5/22/2006 17:57,TURGUT-YATAGAN (MUGLA),37.2503,27.9357,2.7,16,01:53.5
47,5/22/2006 18:05,YATAGAN (MUGLA),37.2258,28.1608,2.8,2.5,01:53.5
48,5/22/2006 18:10,YATAGAN (MUGLA),37.3138,28.2393,2.7,5,01:53.5
49,5/23/2006 18:06,YATAGAN (MUGLA),37.2837,28.1932,2.8,5,01:53.5
50,5/26/2006 18:13,YATAGAN (MUGLA),37.2977,28.1932,2.8,5,01:53.5
51,5/29/2006 18:07,YATAGAN (MUGLA),37.2577,28.1715,2.7,5,01:53.5
52,5/29/2006 18:12,YATAGAN (MUGLA),37.2425,28.1745,2.7,5,01:53.5
53,5/31/2006 12:22,YATAGAN (MUGLA),37.2302,28.166,2.7,5,01:53.5
54,6/2/2006 12:44,YATAGAN (MUGLA),37.2495,28.1658,2.8,5.1,01:53.6
55,6/2/2006 18:10,YATAGAN (MUGLA),37.2542,28.1867,2.8,5.4,01:53.6
56,6/4/2006 12:19,YATAGAN (MUGLA),37.2423,28.1773,2.9,3.3,01:53.6
57,6/4/2006 18:02,YATAGAN (MUGLA),37.2475,28.193,2.8,22,01:53.6
58,6/10/2006 12:21,YATAGAN (MUGLA),37.2223,28.1565,2.6,5,01:53.6
59,6/10/2006 18:13,YATAGAN (MUGLA),37.2642,28.2035,2.7,5.6,01:53.6
60,6/11/2006 18:14,YATAGAN (MUGLA),37.2698,28.2085,2.9,13.7,01:53.6
61,6/21/2006 12:20,YATAGAN (MUGLA),37.2645,28.1728,2.7,5.5,01:53.6
62,6/22/2006 18:11,YATAGAN (MUGLA),37.335,28.2477,2.8,3.3,01:53.6
63,6/25/2006 11:10,YATAGAN (MUGLA),37.3053,28.2557,2.8,23.4,01:53.6
64,6/25/2006 11:58,YATAGAN (MUGLA),37.2818,28.2463,2.7,24.3,01:53.6
65,6/25/2006 18:12,YATAGAN (MUGLA),37.2962,28.232,2.9,19.2,01:53.6
66,6/26/2006 13:43,YATAGAN (MUGLA),37.2252,28.1457,2.7,5,01:53.6
67,6/28/2006 18:23,YATAGAN (MUGLA),37.2957,28.2335,2.7,5.3,01:53.6
68,6/29/2006 18:21,YATAGAN (MUGLA),37.251,28.2108,2.7,5.5,01:53.6
69,7/1/2006 12:06,YATAGAN (MUGLA),37.2298,28.137,2.6,5.6,01:53.6
70,7/3/2006 13:00,YATAGAN (MUGLA),37.2738,28.2105,2.8,5,01:53.6
71,7/9/2006 18:16,YATAGAN (MUGLA),37.2453,28.1853,2.9,10.5,01:53.6
